epoch,num_r2i_pairs,num_i2r_pairs,num_common,num_specific,num_remain,mutual_match_ratio,r2i_pair_accuracy,i2r_pair_accuracy,common_accuracy,rgb_entropy_mean,ir_entropy_mean,rgb_margin_mean,ir_margin_mean,proto_common_mean,proto_specific_mean,proto_remain_mean
0,142,124,47,32,99,0.33098591549295775,0.3732394366197183,0.3467741935483871,0.5957446808510638,0.17003308491088964,0.18085551654863424,0.5666432981771526,0.5349934934331859,0.4523059738443253,0.2990252198651433,0.3325949123110434
1,151,132,59,32,95,0.39072847682119205,0.46357615894039733,0.4090909090909091,0.6610169491525424,0.1467521671800891,0.16222749668469363,0.6138254547992886,0.5886054623583754,0.5431020906416036,0.3838102538138628,0.3640299270027562
2,85,90,70,21,14,0.8235294117647058,0.5764705882352941,0.6555555555555556,0.6857142857142857,0.9771414552702214,0.9720991631147008,0.046563441352117034,0.05559790392349707,0.7790943937642234,0.6354218834922427,0.4954841562679836
3,92,99,82,12,15,0.8913043478260869,0.5869565217391305,0.6464646464646465,0.6219512195121951,0.9772701406656581,0.9721355954194589,0.04706683187921203,0.05789187134520249,0.7736899002296168,0.6845191270112991,0.4720087289810181
4,97,112,91,11,16,0.9381443298969072,0.5876288659793815,0.625,0.6043956043956044,0.9753136518213253,0.9724625041001165,0.05138613646038278,0.05836423589904892,0.7420166305133274,0.5338305153629996,0.4382413011044264
5,113,118,95,14,26,0.8407079646017699,0.6371681415929203,0.7033898305084746,0.6947368421052632,0.9725263792614578,0.9716479486747199,0.05786008379135928,0.058259411648290876,0.646395332562296,0.43105534676994595,0.4607503437078916
6,120,127,100,16,28,0.8333333333333334,0.6666666666666666,0.7007874015748031,0.71,0.9725680964872013,0.9714876232929712,0.05843676287316196,0.05886770216027195,0.6214785984158516,0.45689806807786226,0.40964572929910253
7,135,143,122,7,23,0.9037037037037037,0.7407407407407407,0.7272727272727273,0.7459016393442623,0.9716338483894331,0.9715788013238001,0.0616043201595309,0.060085802692000555,0.613686960984449,0.5009895861148834,0.42804648953935376
8,154,148,134,14,19,0.8701298701298701,0.7727272727272727,0.7567567567567568,0.7835820895522388,0.9714587877169045,0.971647233852418,0.062471588967027515,0.05941237033092666,0.5602709030482307,0.2695018138204302,0.4113015873651755
9,163,170,151,7,21,0.9263803680981595,0.7914110429447853,0.7470588235294118,0.7880794701986755,0.9701483109667166,0.9713570780370248,0.0672091412596579,0.062266309440874995,0.593035174324023,0.37019331966127667,0.3372308723628521
10,176,181,164,3,21,0.9318181818181818,0.7897727272727273,0.7458563535911602,0.8048780487804879,0.9696066894276819,0.9711329621321031,0.06874388601623882,0.06331050073105118,0.5947997046679985,0.5187566975752512,0.332344094202632
11,178,183,166,2,21,0.9325842696629213,0.8089887640449438,0.7486338797814208,0.8192771084337349,0.9690016902257778,0.970477359308674,0.0713794581847135,0.06588677641057933,0.603915099099458,0.40430948138237,0.3220010133726256
12,178,181,169,2,17,0.949438202247191,0.8033707865168539,0.7513812154696132,0.8047337278106509,0.9690852146089849,0.9702836145116339,0.0717944108365505,0.06734313299370144,0.6063764562620919,0.42423197627067566,0.3428185189909795
13,179,183,170,1,19,0.9497206703910615,0.7988826815642458,0.7486338797814208,0.8058823529411765,0.9687420588116971,0.9701036946730713,0.07283510917067139,0.06770811127870432,0.6036430826958488,0.3203871548175812,0.32601393994532135
14,178,183,171,2,14,0.9606741573033708,0.8033707865168539,0.7595628415300546,0.8070175438596491,0.9686479550173529,0.9698823525460203,0.07291189376885535,0.06824951404302333,0.6069112136001475,0.44892898201942444,0.3129165694117546
